  Subject    Frequency
---------  -----------
      3.1            1
      3              1
      2.7            1
      2.6            1
      2.5            1
      2.4            3
      2.3            1
      2.2            2
      2.1            7
      2              5
      1.9            4
      1.8            4
      1.7            6
      1.6            4
      1.5           11
      1.4            6
      1.3            5
      1.2            8
      1.1            4
      1             12
      0.9            3
      0.8            5
      0.7            2
      0.6            1
      0.4            1
      0.2            1
